Ranking, Prime, Type, Coverage, Date with time, Date, Postcode, Year of birth
3,465,Mercedes-Benz - B-Class 242/246 1.6,Teilkasko,2022-01-31 17:07:21
4,463,Audi - A3 Benzin 1.4,Teilkasko,2022-01-31 17:08:20
5,519,BMW - 214 Active Tourer MSport,Teilkasko,2022-01-31 17:09:19
6,467,Seat - Ibiza 1.4,Teilkasko,2022-01-31 17:10:22
4,502,VW - Caddy 1.4,Teilkasko,2022-01-31 17:11:28
8,433,Skoda - Fabia Hatchback 1.2,Teilkasko,2022-01-31 17:12:28
7,884,Mercedes-Benz - B-Klasse Benzin W247 Modell 2.0,Vollkasko,2022-01-31 17:13:32
3,794,Audi - A3 Cabriolet Benzin 2.0,Vollkasko,2022-01-31 17:14:34
9,905,BMW - 216 Active Tourer MSport,Vollkasko,2022-01-31 17:15:35
7,743,Seat - Arona 1.5,Vollkasko,2022-01-31 17:16:35
8,715,VW - Caddy 1.2,Vollkasko,2022-01-31 17:17:38
5,633,Skoda - Fabia Kombi Modell,Vollkasko,2022-01-31 17:18:37
3,465,Mercedes-Benz - B-Class 242/246 1.6,Teilkasko,2022-02-01 12:05:50
4,463,Audi - A3 Benzin 1.4,Teilkasko,2022-02-01 12:06:49
5,519,BMW - 214 Active Tourer MSport,Teilkasko,2022-02-01 12:07:48
6,467,Seat - Ibiza 1.4,Teilkasko,2022-02-01 12:08:50
4,502,VW - Caddy 1.4,Teilkasko,2022-02-01 12:09:57
8,433,Skoda - Fabia Hatchback 1.2,Teilkasko,2022-02-01 12:11:01
7,884,Mercedes-Benz - B-Klasse Benzin W247 Modell 2.0,Vollkasko,2022-02-01 12:12:01
3,794,Audi - A3 Cabriolet Benzin 2.0,Vollkasko,2022-02-01 12:13:02
9,905,BMW - 216 Active Tourer MSport,Vollkasko,2022-02-01 12:14:02
7,743,Seat - Arona 1.5,Vollkasko,2022-02-01 12:15:02
8,715,VW - Caddy 1.2,Vollkasko,2022-02-01 12:16:04
5,633,Skoda - Fabia Kombi Modell,Vollkasko,2022-02-01 12:17:03
3,465,Mercedes-Benz - B-Class 242/246 1.6,Teilkasko,2022-02-02 10:40:17
No Ranking,No Price,Audi- A3 Benzin 1.4,Teilkasko,2022-02-02 10:41:27
No Ranking,No Price,BMW- 214 Active Tourer MSport,Teilkasko,2022-02-02 10:42:37
6,467,Seat - Ibiza 1.4,Teilkasko,2022-02-02 10:43:49
4,502,VW - Caddy 1.4,Teilkasko,2022-02-02 10:45:07
8,433,Skoda - Fabia Hatchback 1.2,Teilkasko,2022-02-02 10:46:18
No Ranking,No Price,Mercedes-Benz- B-Klasse Benzin W247 Modell 2.0,Vollkasko,2022-02-02 10:47:28
3,794,Audi - A3 Cabriolet Benzin 2.0,Vollkasko,2022-02-02 10:48:41
9,905,BMW - 216 Active Tourer MSport,Vollkasko,2022-02-02 10:49:51
No Ranking,No Price,Seat- Arona 1.5,Vollkasko,2022-02-02 10:51:01
8,715,VW - Caddy 1.2,Vollkasko,2022-02-02 10:52:14
5,633,Skoda - Fabia Kombi Modell,Vollkasko,2022-02-02 10:53:25
3,465,Mercedes-Benz - B-Class 242/246 1.6,Teilkasko,2022-02-02 23:44:54
4,463,Audi - A3 Benzin 1.4,Teilkasko,2022-02-02 23:46:05
5,519,BMW - 214 Active Tourer MSport,Teilkasko,2022-02-02 23:47:16
6,467,Seat - Ibiza 1.4,Teilkasko,2022-02-02 23:48:28
4,502,VW - Caddy 1.4,Teilkasko,2022-02-02 23:49:39
7,433,Skoda - Fabia Hatchback 1.2,Teilkasko,2022-02-02 23:50:49
7,884,Mercedes-Benz - B-Klasse Benzin W247 Modell 2.0,Vollkasko,2022-02-02 23:52:07
3,794,Audi - A3 Cabriolet Benzin 2.0,Vollkasko,2022-02-02 23:53:17
9,905,BMW - 216 Active Tourer MSport,Vollkasko,2022-02-02 23:54:27
7,743,Seat - Arona 1.5,Vollkasko,2022-02-02 23:55:40
8,715,VW - Caddy 1.2,Vollkasko,2022-02-02 23:56:51
5,633,Skoda - Fabia Kombi Modell,Vollkasko,2022-02-02 23:58:01
3,465,Mercedes-Benz - B-Class 242/246 1.6,Teilkasko,2022-02-03 08:03:21
4,463,Audi - A3 Benzin 1.4,Teilkasko,2022-02-03 08:04:32
5,519,BMW - 214 Active Tourer MSport,Teilkasko,2022-02-03 08:05:43
6,467,Seat - Ibiza 1.4,Teilkasko,2022-02-03 08:06:57
4,502,VW - Caddy 1.4,Teilkasko,2022-02-03 08:08:07
7,433,Skoda - Fabia Hatchback 1.2,Teilkasko,2022-02-03 08:09:18
6,884,Mercedes-Benz - B-Klasse Benzin W247 Modell 2.0,Vollkasko,2022-02-03 08:10:31
3,794,Audi - A3 Cabriolet Benzin 2.0,Vollkasko,2022-02-03 08:11:41
8,905,BMW - 216 Active Tourer MSport,Vollkasko,2022-02-03 08:12:51
7,743,Seat - Arona 1.5,Vollkasko,2022-02-03 08:14:04
7,715,VW - Caddy 1.2,Vollkasko,2022-02-03 08:15:14
4,633,Skoda - Fabia Kombi Modell,Vollkasko,2022-02-03 08:16:24
No Ranking,No Price,Mercedes-Benz- B-Class 242/246 1.6,Teilkasko,2022-02-03 17:24:23
No Ranking,No Price,Audi- A3 Benzin 1.4,Teilkasko,2022-02-03 17:25:33
No Ranking,No Price,BMW- 214 Active Tourer MSport,Teilkasko,2022-02-03 17:26:44
No Ranking,No Price,Seat- Ibiza 1.4,Teilkasko,2022-02-03 17:27:56
No Ranking,No Price,VW- Caddy 1.4,Teilkasko,2022-02-03 17:29:07
No Ranking,No Price,Skoda- Fabia Hatchback 1.2,Teilkasko,2022-02-03 17:30:18
No Ranking,No Price,Mercedes-Benz- B-Klasse Benzin W247 Modell 2.0,Vollkasko,2022-02-03 17:31:31
No Ranking,No Price,Audi- A3 Cabriolet Benzin 2.0,Vollkasko,2022-02-03 17:32:41
No Ranking,No Price,BMW- 216 Active Tourer MSport,Vollkasko,2022-02-03 17:33:52
